Mouse 	Cage 	Day	Gender	Co_Housed	Genotype	Treatment_Grp	Treatment_1	Treatment_2	Colonization_stat630	CFU_g	Experiment 
977_1	977	40	female	yes	WT	630_VPI 	630	VPI	colonized	223000	2014
977_2	977	1	female	yes	WT	630_VPI 	630	VPI	colonized	49000000	2014
977_2	977	4	female	yes	WT	630_VPI 	630	VPI	colonized	33000000	2014
977_2	977	7	female	yes	WT	630_VPI 	630	VPI	colonized	35000000	2014
977_2	977	10	female	yes	WT	630_VPI 	630	VPI	colonized	5000000	2014
977_2	977	16	female	yes	WT	630_VPI 	630	VPI	colonized	4000000	2014
977_2	977	22	female	yes	WT	630_VPI 	630	VPI	colonized	10000	2014
977_2	977	31	female	yes	WT	630_VPI 	630	VPI	colonized	114000	2014
977_2	977	40	female	yes	WT	630_VPI 	630	VPI	colonized	203000	2014
977_3	977	1	female	yes	WT	630_VPI 	630	VPI	colonized	85000000	2014
977_3	977	4	female	yes	WT	630_VPI 	630	VPI	colonized	54000000	2014
977_3	977	7	female	yes	WT	630_VPI 	630	VPI	colonized	23000000	2014
977_3	977	10	female	yes	WT	630_VPI 	630	VPI	colonized	100000	2014
977_3	977	16	female	yes	WT	630_VPI 	630	VPI	colonized	610000	2014
977_3	977	22	female	yes	WT	630_VPI 	630	VPI	colonized	790000	2014
977_3	977	31	female	yes	WT	630_VPI 	630	VPI	colonized	290000	2014
977_3	977	40	female	yes	WT	630_VPI 	630	VPI	colonized	3200000	2014
977_4	977	1	female	yes	WT	630_VPI 	630	VPI	colonized	62000000	2014
977_4	977	4	female	yes	WT	630_VPI 	630	VPI	colonized	46000000	2014
977_4	977	7	female	yes	WT	630_VPI 	630	VPI	colonized	3200000	2014
977_4	977	10	female	yes	WT	630_VPI 	630	VPI	colonized	500000	2014
977_4	977	16	female	yes	WT	630_VPI 	630	VPI	colonized	2690000	2014
977_4	977	22	female	yes	WT	630_VPI 	630	VPI	colonized	30000	2014
977_4	977	31	female	yes	WT	630_VPI 	630	VPI	colonized	19000	2014
977_4	977	40	female	yes	WT	630_VPI 	630	VPI	colonized	326000	2014
925_1	925	1	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_1	925	4	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_1	925	7	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_1	925	10	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_1	925	13	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_1	925	16	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_1	925	19	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_1	925	22	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_1	925	34	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_1	925	41	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_1	925	42	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_2	925	1	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_2	925	4	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_2	925	7	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_2	925	10	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_2	925	13	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_2	925	16	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_2	925	19	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_2	925	22	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_2	925	34	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
